Reference GeoSymbio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type;Gene;Accession number;Host_Phylum;Host_Class;Host_Order;Host_Family;Host_Genus;Host_Species;Host_Sci_Name;Ocean;Country;StateRegion;Latitude;Longitude;Reference;;Accession number;Host_Species_code;Country;year;sample_number;;;;;;;;;;;;;;;
A4;ITS2;AF333509;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;Colombia;Cartagena;10.141381;-75.930156;Camargo_2009_Biodivers_Conserv_18_935;;AF333509;Pastreoides;Col;2006;1;;;;;;;;;;;;;;;
A4;ITS2;AF333509;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;Barbados;Eastern Caribbean;13.113952;-59.323522;Finney_2010_Microb_Ecol_60_250;;AF333509;Pastreoides;Bar;2005;1;;;;;;;;;;;;;;;
A4;ITS2;AF333509;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;Barbados;Eastern Caribbean;13.113952;-59.323522;Finney_2010_Microb_Ecol_60_250;;AF333509;Pastreoides;Bar;2005;2;;;;;;;;;;;;;;;
A4;ITS2;AF333509;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;Barbados;Eastern Caribbean;13.113952;-59.323522;Finney_2010_Microb_Ecol_60_250;;AF333509;Pastreoides;Bar;2005;3;;;;;;;;;;;;;;;
A4;ITS2;AF333509;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;porites;Porites porites;Caribbean;Barbados;Eastern Caribbean;13.113952;-59.323522;Finney_2010_Microb_Ecol_60_250;;AF333509;Pporites;Bar;2005;1;;;;;;;;;;;;;;;
A4;ITS2;AF333509;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;United States;US Virgin Islands;18.183888;-64.432076;Green_2010_JEMBE_384_18;;AF333509;Pastreoides;USVI;2006;1;;;;;;;;;;;;;;;
A4;ITS2;AF333509;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;United States;US Virgin Islands;18.183888;-64.432076;Green_2010_JEMBE_384_18;;AF333509;Pastreoides;USVI;2006;2;;;;;;;;;;;;;;;
A4;ITS2;AF333509;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;United States;US Virgin Islands;18.185657;-64.431769;Green_2010_JEMBE_384_18;;AF333509;Pastreoides;USVI;2006;3;;;;;;;;;;;;;;;
A4;ITS2;AF333509;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;United States;US Virgin Islands;18.185657;-64.431769;Green_2010_JEMBE_384_18;;AF333509;Pastreoides;USVI;2006;4;;;;;;;;;;;;;;;
A4;ITS2;AF333509;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;Mexico;Quintana Roo;20.5;-86.52;LaJeunesse_2002_Mar_Biol_141_387;;AF333509;Pastreoides;Mex;1999;2;;;;;;;;;;;;;;;
